,latitude,longitude,depth,deptho,deptho_lev,mask
214,0.0,116.333336,0.494025,,,0
215,0.0,116.416664,0.494025,,,0
216,0.0,116.5,0.494025,,,0
217,0.0,116.583336,0.494025,,,0
218,0.0,116.666664,0.494025,,,0
219,0.0,116.75,0.494025,,,0
220,0.0,116.833336,0.494025,,,0
221,0.0,116.916664,0.494025,,,0
222,0.0,117.0,0.494025,,,0
223,0.0,117.083336,0.494025,,,0
224,0.0,117.166664,0.494025,,,0
225,0.0,117.25,0.494025,,,0
226,0.0,117.333336,0.494025,,,0
227,0.0,117.416664,0.494025,,,0
228,0.0,117.5,0.494025,7.0,6.0,1
229,0.0,117.583336,0.494025,43.50334,17.0,1
230,0.0,117.666664,0.494025,135.5,24.0,1
231,0.0,117.75,0.494025,120.0,23.0,1
232,0.0,117.833336,0.494025,295.0161,28.0,1
233,0.0,117.916664,0.494025,787.0,34.0,1
234,0.0,118.0,0.494025,1475.0,38.0,1
235,0.0,118.083336,0.494025,1329.0,37.0,1
236,0.0,118.166664,0.494025,1891.0,39.0,1
237,0.0,118.25,0.494025,2250.0,41.0,1
238,0.0,118.333336,0.494025,2375.011,41.0,1
239,0.0,118.416664,0.494025,2454.0,41.0,1
240,0.0,118.5,0.494025,2438.0,41.0,1
241,0.0,118.583336,0.494025,2437.0,41.0,1
242,0.0,118.666664,0.494025,2410.0,41.0,1
243,0.0,118.75,0.494025,2436.0,41.0,1
244,0.0,118.833336,0.494025,2391.996,41.0,1
245,0.0,118.916664,0.494025,2392.0,41.0,1
246,0.0,119.0,0.494025,2417.0,41.0,1
247,0.0,119.083336,0.494025,2296.003,41.0,1
248,0.0,119.166664,0.494025,2108.0,40.0,1
249,0.0,119.25,0.494025,1917.0,39.0,1
250,0.0,119.333336,0.494025,1617.0,38.0,1
251,0.0,119.416664,0.494025,1665.0,38.0,1
252,0.0,119.5,0.494025,969.0,35.0,1
253,0.0,119.583336,0.494025,90.0,21.0,1
254,0.0,119.666664,0.494025,,,0
255,0.0,119.75,0.494025,101.0,22.0,1
256,0.0,119.833336,0.494025,114.0012,23.0,1
257,0.0,119.916664,0.494025,,,0
258,0.0,120.0,0.494025,,,0
259,0.0,120.083336,0.494025,32.5,15.0,1
260,0.0,120.166664,0.494025,99.0,22.0,1
261,0.0,120.25,0.494025,846.0,34.0,1
262,0.0,120.333336,0.494025,549.0,32.0,1
263,0.0,120.416664,0.494025,1242.0,36.0,1
264,0.0,120.5,0.494025,1477.0,38.0,1
265,0.0,120.583336,0.494025,1469.999,38.0,1
266,0.0,120.666664,0.494025,1351.0,37.0,1
267,0.0,120.75,0.494025,1452.0,37.0,1
268,0.0,120.833336,0.494025,1118.0,36.0,1
269,0.0,120.916664,0.494025,1636.0,38.0,1
270,0.0,121.0,0.494025,1486.0,38.0,1
271,0.0,121.083336,0.494025,1460.998,38.0,1
272,0.0,121.166664,0.494025,1115.0,36.0,1
273,0.0,121.25,0.494025,970.0,35.0,1
274,0.0,121.333336,0.494025,824.0,34.0,1
275,0.0,121.416664,0.494025,618.0,32.0,1
276,0.0,121.5,0.494025,589.3333,32.0,1
277,0.0,121.583336,0.494025,586.0078,32.0,1
278,0.0,121.666664,0.494025,299.0,28.0,1
279,0.0,121.75,0.494025,296.0,28.0,1
280,0.0,121.833336,0.494025,372.007,29.0,1
281,0.0,121.916664,0.494025,378.0,29.0,1
282,0.0,122.0,0.494025,501.0,31.0,1
283,0.0,122.083336,0.494025,582.0074,32.0,1
284,0.0,122.166664,0.494025,935.0,35.0,1
285,0.0,122.25,0.494025,1179.0,36.0,1
286,0.0,122.333336,0.494025,1203.002,36.0,1
287,0.0,122.416664,0.494025,1195.0,36.0,1
288,0.0,122.5,0.494025,1535.0,38.0,1
289,0.083333336,98.5,0.494025,30.0,15.0,1
290,0.083333336,98.583336,0.494025,16.0,11.0,1
291,0.083333336,98.666664,0.494025,,,0
292,0.083333336,98.75,0.494025,,,0
293,0.083333336,98.833336,0.494025,,,0
294,0.083333336,98.916664,0.494025,13.0,9.0,1
295,0.083333336,99.0,0.494025,41.5,17.0,1
296,0.083333336,99.083336,0.494025,42.99997,17.0,1
297,0.083333336,99.166664,0.494025,32.0,15.0,1
298,0.083333336,99.25,0.494025,30.0,15.0,1
299,0.083333336,99.333336,0.494025,27.99931,14.0,1
300,0.083333336,99.416664,0.494025,21.0,12.0,1
301,0.083333336,99.5,0.494025,15.5,10.0,1
302,0.083333336,99.583336,0.494025,9.5,7.0,1
303,0.083333336,99.666664,0.494025,7.0,6.0,1
304,0.083333336,99.75,0.494025,,,0
305,0.083333336,99.833336,0.494025,,,0
306,0.083333336,99.916664,0.494025,,,0
307,0.083333336,100.0,0.494025,,,0
308,0.083333336,100.083336,0.494025,,,0
309,0.083333336,100.166664,0.494025,,,0
310,0.083333336,100.25,0.494025,,,0
311,0.083333336,100.333336,0.494025,,,0
312,0.083333336,100.416664,0.494025,,,0
313,0.083333336,100.5,0.494025,,,0
314,0.083333336,100.583336,0.494025,,,0
315,0.083333336,100.666664,0.494025,,,0
316,0.083333336,100.75,0.494025,,,0
317,0.083333336,100.833336,0.494025,,,0
318,0.083333336,100.916664,0.494025,,,0
319,0.083333336,101.0,0.494025,,,0
320,0.083333336,101.083336,0.494025,,,0
321,0.083333336,101.166664,0.494025,,,0
322,0.083333336,101.25,0.494025,,,0
323,0.083333336,101.333336,0.494025,,,0
324,0.083333336,101.416664,0.494025,,,0
325,0.083333336,101.5,0.494025,,,0
326,0.083333336,101.583336,0.494025,,,0
327,0.083333336,101.666664,0.494025,,,0
328,0.083333336,101.75,0.494025,,,0
329,0.083333336,101.833336,0.494025,,,0
330,0.083333336,101.916664,0.494025,,,0
331,0.083333336,102.0,0.494025,,,0
332,0.083333336,102.083336,0.494025,,,0
333,0.083333336,102.166664,0.494025,,,0
334,0.083333336,102.25,0.494025,,,0
335,0.083333336,102.333336,0.494025,,,0
336,0.083333336,102.416664,0.494025,,,0
337,0.083333336,102.5,0.494025,,,0
338,0.083333336,102.583336,0.494025,,,0
339,0.083333336,102.666664,0.494025,,,0
340,0.083333336,102.75,0.494025,,,0
341,0.083333336,102.833336,0.494025,,,0
342,0.083333336,102.916664,0.494025,,,0
343,0.083333336,103.0,0.494025,,,0
344,0.083333336,103.083336,0.494025,,,0
345,0.083333336,103.166664,0.494025,,,0
346,0.083333336,103.25,0.494025,,,0
347,0.083333336,103.333336,0.494025,,,0
348,0.083333336,103.416664,0.494025,,,0
349,0.083333336,103.5,0.494025,,,0
350,0.083333336,103.583336,0.494025,,,0
351,0.083333336,103.666664,0.494025,,,0
352,0.083333336,103.75,0.494025,,,0
353,0.083333336,103.833336,0.494025,17.00141,11.0,1
354,0.083333336,103.916664,0.494025,27.0,14.0,1
355,0.083333336,104.0,0.494025,26.0,14.0,1
356,0.083333336,104.083336,0.494025,29.00046,14.0,1
357,0.083333336,104.166664,0.494025,22.5,13.0,1
358,0.083333336,104.25,0.494025,20.0,12.0,1
359,0.083333336,104.333336,0.494025,21.0,12.0,1
360,0.083333336,104.416664,0.494025,,,0
361,0.083333336,104.5,0.494025,11.0,8.0,1
362,0.083333336,104.583336,0.494025,8.0,7.0,1
363,0.083333336,104.666664,0.494025,9.0,7.0,1
364,0.083333336,104.75,0.494025,10.0,8.0,1
365,0.083333336,104.833336,0.494025,19.00089,12.0,1
366,0.083333336,104.916664,0.494025,22.0,13.0,1
367,0.083333336,105.0,0.494025,35.0,16.0,1
368,0.083333336,105.083336,0.494025,44.99857,17.0,1
369,0.083333336,105.166664,0.494025,35.0,16.0,1
370,0.083333336,105.25,0.494025,35.0,16.0,1
371,0.083333336,105.333336,0.494025,33.5,15.0,1
372,0.083333336,105.416664,0.494025,37.0,16.0,1
373,0.083333336,105.5,0.494025,23.0,13.0,1
374,0.083333336,105.583336,0.494025,31.00076,15.0,1
375,0.083333336,105.666664,0.494025,33.0,15.0,1
376,0.083333336,105.75,0.494025,28.0,14.0,1
377,0.083333336,105.833336,0.494025,34.0007,15.0,1
378,0.083333336,105.916664,0.494025,38.5,16.0,1
379,0.083333336,106.0,0.494025,31.0,15.0,1
380,0.083333336,106.083336,0.494025,39.00092,16.0,1
381,0.083333336,106.166664,0.494025,47.0,17.0,1
382,0.083333336,106.25,0.494025,48.0,18.0,1
383,0.083333336,106.333336,0.494025,46.99997,17.0,1
384,0.083333336,106.416664,0.494025,40.0,16.0,1
385,0.083333336,106.5,0.494025,49.0,18.0,1
386,0.083333336,106.583336,0.494025,50.99987,18.0,1
387,0.083333336,106.666664,0.494025,49.0,18.0,1
388,0.083333336,106.75,0.494025,57.0,19.0,1
389,0.083333336,106.833336,0.494025,50.99948,18.0,1
390,0.083333336,106.916664,0.494025,53.0,18.0,1
391,0.083333336,107.0,0.494025,56.0,19.0,1
392,0.083333336,107.083336,0.494025,58.00024,19.0,1
393,0.083333336,107.166664,0.494025,73.0,20.0,1
394,0.083333336,107.25,0.494025,44.0,17.0,1
395,0.083333336,107.333336,0.494025,36.0,16.0,1
396,0.083333336,107.416664,0.494025,37.0,16.0,1
397,0.083333336,107.5,0.494025,42.0,17.0,1
398,0.083333336,107.583336,0.494025,40.99988,16.0,1
399,0.083333336,107.666664,0.494025,29.0,14.0,1
400,0.083333336,107.75,0.494025,34.0,15.0,1
401,0.083333336,107.833336,0.494025,32.99988,15.0,1
402,0.083333336,107.916664,0.494025,33.0,15.0,1
403,0.083333336,108.0,0.494025,36.0,16.0,1
404,0.083333336,108.083336,0.494025,39.99926,16.0,1
405,0.083333336,108.166664,0.494025,33.0,15.0,1
406,0.083333336,108.25,0.494025,27.0,14.0,1
407,0.083333336,108.333336,0.494025,27.0,14.0,1
408,0.083333336,108.416664,0.494025,27.0,14.0,1
409,0.083333336,108.5,0.494025,25.0,13.0,1
410,0.083333336,108.583336,0.494025,26.00031,14.0,1
411,0.083333336,108.666664,0.494025,38.0,16.0,1
412,0.083333336,108.75,0.494025,25.0,13.0,1
413,0.083333336,108.833336,0.494025,20.00043,12.0,1
414,0.083333336,108.916664,0.494025,23.0,13.0,1
415,0.083333336,109.0,0.494025,15.5,10.0,1
416,0.083333336,109.083336,0.494025,13.49977,9.0,1
417,0.083333336,109.166664,0.494025,7.0,6.0,1
418,0.083333336,109.25,0.494025,,,0
419,0.083333336,109.333336,0.494025,,,0
420,0.083333336,109.416664,0.494025,,,0
421,0.083333336,109.5,0.494025,,,0
422,0.083333336,109.583336,0.494025,,,0
423,0.083333336,109.666664,0.494025,,,0
424,0.083333336,109.75,0.494025,,,0
425,0.083333336,109.833336,0.494025,,,0
426,0.083333336,109.916664,0.494025,,,0
427,0.083333336,110.0,0.494025,,,0
428,0.083333336,110.083336,0.494025,,,0
429,0.083333336,110.166664,0.494025,,,0
430,0.083333336,110.25,0.494025,,,0
431,0.083333336,110.333336,0.494025,,,0
432,0.083333336,110.416664,0.494025,,,0
433,0.083333336,110.5,0.494025,,,0
434,0.083333336,110.583336,0.494025,,,0
435,0.083333336,110.666664,0.494025,,,0
436,0.083333336,110.75,0.494025,,,0
437,0.083333336,110.833336,0.494025,,,0
438,0.083333336,110.916664,0.494025,,,0
439,0.083333336,111.0,0.494025,,,0
440,0.083333336,111.083336,0.494025,,,0
441,0.083333336,111.166664,0.494025,,,0
442,0.083333336,111.25,0.494025,,,0
443,0.083333336,111.333336,0.494025,,,0
444,0.083333336,111.416664,0.494025,,,0
445,0.083333336,111.5,0.494025,,,0
446,0.083333336,111.583336,0.494025,,,0
447,0.083333336,111.666664,0.494025,,,0
448,0.083333336,111.75,0.494025,,,0
449,0.083333336,111.833336,0.494025,,,0
450,0.083333336,111.916664,0.494025,,,0
451,0.083333336,112.0,0.494025,,,0
452,0.083333336,112.083336,0.494025,,,0
453,0.083333336,112.166664,0.494025,,,0
454,0.083333336,112.25,0.494025,,,0
455,0.083333336,112.333336,0.494025,,,0
456,0.083333336,112.416664,0.494025,,,0
457,0.083333336,112.5,0.494025,,,0
458,0.083333336,112.583336,0.494025,,,0
459,0.083333336,112.666664,0.494025,,,0
460,0.083333336,112.75,0.494025,,,0
461,0.083333336,112.833336,0.494025,,,0
462,0.083333336,112.916664,0.494025,,,0
463,0.083333336,113.0,0.494025,,,0
464,0.083333336,113.083336,0.494025,,,0
465,0.083333336,113.166664,0.494025,,,0
466,0.083333336,113.25,0.494025,,,0
467,0.083333336,113.333336,0.494025,,,0
468,0.083333336,113.416664,0.494025,,,0
469,0.083333336,113.5,0.494025,,,0
470,0.083333336,113.583336,0.494025,,,0
471,0.083333336,113.666664,0.494025,,,0
472,0.083333336,113.75,0.494025,,,0
473,0.083333336,113.833336,0.494025,,,0
474,0.083333336,113.916664,0.494025,,,0
475,0.083333336,114.0,0.494025,,,0
476,0.083333336,114.083336,0.494025,,,0
477,0.083333336,114.166664,0.494025,,,0
478,0.083333336,114.25,0.494025,,,0
479,0.083333336,114.333336,0.494025,,,0
480,0.083333336,114.416664,0.494025,,,0
481,0.083333336,114.5,0.494025,,,0
482,0.083333336,114.583336,0.494025,,,0
483,0.083333336,114.666664,0.494025,,,0
484,0.083333336,114.75,0.494025,,,0
485,0.083333336,114.833336,0.494025,,,0
486,0.083333336,114.916664,0.494025,,,0
487,0.083333336,115.0,0.494025,,,0
488,0.083333336,115.083336,0.494025,,,0
489,0.083333336,115.166664,0.494025,,,0
490,0.083333336,115.25,0.494025,,,0
491,0.083333336,115.333336,0.494025,,,0
492,0.083333336,115.416664,0.494025,,,0
493,0.083333336,115.5,0.494025,,,0
494,0.083333336,115.583336,0.494025,,,0
495,0.083333336,115.666664,0.494025,,,0
496,0.083333336,115.75,0.494025,,,0
497,0.083333336,115.833336,0.494025,,,0
498,0.083333336,115.916664,0.494025,,,0
499,0.083333336,116.0,0.494025,,,0
500,0.083333336,116.083336,0.494025,,,0
501,0.083333336,116.166664,0.494025,,,0
502,0.083333336,116.25,0.494025,,,0
503,0.083333336,116.333336,0.494025,,,0
504,0.083333336,116.416664,0.494025,,,0
505,0.083333336,116.5,0.494025,,,0
506,0.083333336,116.583336,0.494025,,,0
507,0.083333336,116.666664,0.494025,,,0
508,0.083333336,116.75,0.494025,,,0
509,0.083333336,116.833336,0.494025,,,0
510,0.083333336,116.916664,0.494025,,,0
511,0.083333336,117.0,0.494025,,,0
512,0.083333336,117.083336,0.494025,,,0
513,0.083333336,117.166664,0.494025,,,0
514,0.083333336,117.25,0.494025,,,0
515,0.083333336,117.333336,0.494025,,,0
516,0.083333336,117.416664,0.494025,,,0
517,0.083333336,117.5,0.494025,7.5,6.0,1
518,0.083333336,117.583336,0.494025,44.00343,17.0,1
519,0.083333336,117.666664,0.494025,107.5,22.0,1
520,0.083333336,117.75,0.494025,193.5,26.0,1
521,0.083333336,117.833336,0.494025,489.0322,31.0,1
522,0.083333336,117.916664,0.494025,983.0,35.0,1
523,0.083333336,118.0,0.494025,1329.0,37.0,1
524,0.083333336,118.083336,0.494025,1626.029,38.0,1
525,0.083333336,118.166664,0.494025,1873.0,39.0,1
526,0.083333336,118.25,0.494025,2263.0,41.0,1
527,0.083333336,118.333336,0.494025,2388.013,41.0,1
528,0.083333336,118.416664,0.494025,2468.0,41.0,1
529,0.083333336,118.5,0.494025,2434.0,41.0,1
530,0.083333336,118.583336,0.494025,2469.003,41.0,1
531,0.083333336,118.666664,0.494025,2459.0,41.0,1
532,0.083333336,118.75,0.494025,2466.0,41.0,1
533,0.083333336,118.833336,0.494025,2336.0,41.0,1
534,0.083333336,118.916664,0.494025,2380.0,41.0,1
535,0.083333336,119.0,0.494025,2411.0,41.0,1
536,0.083333336,119.083336,0.494025,2425.001,41.0,1
537,0.083333336,119.166664,0.494025,2405.0,41.0,1
538,0.083333336,119.25,0.494025,2286.0,41.0,1
539,0.083333336,119.333336,0.494025,2079.0,40.0,1
540,0.083333336,119.416664,0.494025,1785.0,39.0,1
541,0.083333336,119.5,0.494025,1330.0,37.0,1
542,0.083333336,119.583336,0.494025,211.5875,26.0,1
543,0.083333336,119.666664,0.494025,197.7475,26.0,1
544,0.083333336,119.75,0.494025,240.0,27.0,1
545,0.083333336,119.833336,0.494025,92.5,21.0,1
546,0.083333336,119.916664,0.494025,,,0
547,0.083333336,120.0,0.494025,,,0
548,0.083333336,120.083336,0.494025,,,0
549,0.083333336,120.166664,0.494025,24.5,13.0,1
550,0.083333336,120.25,0.494025,549.0,32.0,1
551,0.083333336,120.333336,0.494025,237.7825,27.0,1
552,0.083333336,120.416664,0.494025,950.0,35.0,1
553,0.083333336,120.5,0.494025,1064.0,36.0,1
554,0.083333336,120.583336,0.494025,1094.993,36.0,1
555,0.083333336,120.666664,0.494025,946.0,35.0,1
556,0.083333336,120.75,0.494025,1118.0,36.0,1
557,0.083333336,120.833336,0.494025,748.0,33.0,1
558,0.083333336,120.916664,0.494025,1530.0,38.0,1
559,0.083333336,121.0,0.494025,1429.0,37.0,1
560,0.083333336,121.083336,0.494025,1403.994,37.0,1
561,0.083333336,121.166664,0.494025,1249.0,37.0,1
562,0.083333336,121.25,0.494025,1167.0,36.0,1
563,0.083333336,121.333336,0.494025,994.9837,35.0,1
564,0.083333336,121.416664,0.494025,735.0,33.0,1
565,0.083333336,121.5,0.494025,883.0,34.0,1
566,0.083333336,121.583336,0.494025,833.0,34.0,1
567,0.083333336,121.666664,0.494025,662.0,33.0,1
568,0.083333336,121.75,0.494025,475.0,31.0,1
569,0.083333336,121.833336,0.494025,590.0157,32.0,1
